,VERB,DIR,GOAL,INSTR,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,is.A2
119,1,0,1,0,0,0,0,0,1,1,0,0
120,1,1,0,0,0,0,0,1,0,1,1,1
121,1,0,1,0,1,0,0,0,0,1,0,0
122,1,0,0,0,0,0,0,1,0,1,0,1
123,1,1,0,0,1,0,0,0,0,1,0,1
124,1,0,1,0,1,0,0,0,0,1,0,0
125,1,0,0,0,0,0,0,1,0,1,0,0
126,1,0,1,0,1,0,0,0,0,1,0,0
127,1,0,0,0,0,0,0,1,0,1,0,0
128,1,0,0,0,0,1,0,0,0,1,0,0
129,1,1,1,0,1,0,0,0,0,1,0,1
130,1,0,0,0,1,0,0,0,0,0,0,1
131,1,1,0,0,1,0,0,0,0,1,0,1
132,1,0,1,0,1,0,0,0,0,1,0,0
133,1,0,1,0,1,0,0,0,0,1,0,0
134,1,0,1,0,1,0,0,0,0,1,0,0
135,1,1,0,0,0,0,0,1,0,1,0,1
136,1,1,0,0,0,0,0,1,0,1,1,1
137,1,0,0,0,1,0,0,0,0,1,0,0
138,1,1,1,0,1,0,0,0,0,1,1,1
139,1,1,1,0,1,0,0,0,0,1,0,1
140,1,1,0,0,0,0,0,1,0,1,1,1
141,1,0,1,0,1,0,0,0,0,1,0,0
142,1,0,0,0,1,0,0,0,0,1,0,0
143,1,0,0,0,1,0,0,0,0,1,0,0
144,1,1,0,0,1,0,0,0,0,1,1,1
145,1,1,0,0,0,0,0,1,0,1,1,1
146,1,0,1,0,1,0,0,0,0,1,0,0
147,1,0,1,0,1,0,0,0,0,1,0,0
148,1,1,0,0,0,0,1,0,0,1,0,1
149,1,0,1,0,1,0,0,0,0,1,0,0
150,1,0,0,0,0,0,0,1,0,1,0,1
151,1,0,0,0,1,0,0,0,0,1,0,0
152,1,1,0,0,1,0,0,0,0,1,1,1
153,1,0,1,0,1,0,0,0,0,1,0,0
154,1,0,1,0,0,1,0,0,0,1,0,0
155,1,0,0,0,0,0,0,1,0,1,0,0
156,1,1,1,0,1,0,0,0,0,1,1,1
157,1,1,1,0,1,0,0,0,0,1,1,1
158,1,1,1,0,0,0,0,1,0,1,1,1
159,1,1,0,0,1,0,0,0,0,1,1,1
160,1,0,1,0,1,0,0,0,0,1,0,0
161,1,0,1,0,1,0,0,0,0,1,0,0
162,1,1,0,0,0,0,0,1,0,1,0,1
163,1,1,1,0,1,0,0,0,0,1,0,1
164,1,1,1,0,1,0,0,0,0,1,1,1
165,2,1,0,0,1,0,0,0,0,1,1,1
166,2,1,1,0,1,0,0,0,0,1,1,1
167,2,0,0,0,1,0,0,0,0,1,0,0
168,2,1,0,0,1,0,0,0,0,1,0,1
169,2,0,0,0,0,0,0,1,0,1,0,0
170,2,0,1,0,1,0,0,0,0,1,0,0
171,2,0,1,0,1,0,0,0,0,1,0,0
172,2,0,1,0,1,0,0,0,0,1,0,0
173,2,0,1,0,1,0,0,0,0,1,0,0
174,2,0,0,0,0,0,0,1,0,1,0,0
175,2,1,1,0,1,0,0,0,0,1,0,1
176,2,0,0,0,0,0,0,0,1,1,0,0
177,2,0,0,0,0,0,0,1,0,1,0,0
178,2,1,1,0,1,0,0,0,0,1,0,1
179,2,0,0,0,0,0,0,1,0,1,0,0
180,2,0,1,0,1,0,0,0,0,1,0,0
181,2,0,0,0,0,0,0,1,0,1,0,0
182,2,0,1,0,0,0,0,1,0,1,0,1
183,2,1,0,0,1,0,0,0,0,1,1,1
184,2,1,0,0,1,0,0,0,0,1,0,1
185,2,0,1,0,1,0,0,0,0,1,0,0
186,2,0,0,0,1,0,0,0,0,1,0,0
187,2,0,0,0,0,0,0,1,0,1,0,0
188,2,0,1,0,0,1,0,0,0,1,0,0
189,2,1,0,0,1,0,0,0,0,1,1,1
190,2,0,1,0,1,0,0,0,0,1,0,0
191,2,0,1,0,0,1,0,0,0,1,0,0
192,2,0,0,0,0,1,0,0,0,1,0,0
193,2,0,1,0,1,0,0,0,0,1,0,0
194,2,0,1,0,0,1,0,0,0,1,0,0
195,2,1,0,0,0,0,0,1,0,1,0,1
196,2,0,1,0,1,0,0,0,0,1,0,0
197,2,0,1,0,1,0,0,0,0,1,0,0
198,2,0,1,0,1,0,0,0,0,1,0,0
199,2,0,1,0,1,0,0,0,0,1,0,0
200,2,0,1,0,1,0,0,0,0,1,0,0
201,2,0,1,0,1,0,0,0,0,1,0,0
202,2,0,0,0,0,0,0,1,0,1,0,0
203,2,1,0,0,1,0,0,0,0,1,0,1
204,2,0,0,0,0,1,0,0,0,1,0,0
205,2,0,1,0,1,0,0,0,0,1,0,0
206,2,0,0,0,1,0,0,0,0,1,0,0
207,2,0,1,0,1,0,0,0,0,1,0,0
208,2,0,0,0,0,0,0,1,0,1,0,0
209,2,0,0,0,1,0,0,0,0,1,0,0
210,2,0,1,0,1,0,0,0,0,1,0,0
211,2,1,0,0,1,0,0,0,0,1,0,1
212,2,1,1,0,1,0,0,0,0,1,0,1
213,2,1,1,0,1,0,0,0,0,1,0,1
214,2,0,0,0,0,0,0,1,0,1,0,0
215,2,0,1,0,1,0,0,0,0,1,0,0
216,2,0,0,0,0,0,0,1,0,1,0,0
217,2,1,0,0,1,0,0,0,0,1,1,1
218,2,1,0,0,1,0,0,0,0,1,1,1
219,2,0,1,0,1,0,0,0,0,1,0,1
220,2,0,0,0,0,0,0,1,0,1,0,0
221,2,1,0,0,1,0,0,0,0,1,0,1
222,2,0,1,0,1,0,0,0,0,1,0,0
223,2,0,1,0,1,0,0,0,0,1,0,0
224,2,0,0,0,0,0,0,1,0,1,0,0
225,2,1,0,0,1,0,0,0,0,1,1,1
226,2,0,0,0,0,1,0,0,0,1,0,0
227,2,0,1,0,1,0,0,0,0,1,0,0
228,2,1,0,0,1,0,0,0,0,1,0,1
229,2,0,1,0,1,0,0,0,0,1,0,0
230,2,0,1,0,1,0,0,0,0,1,0,0
231,2,0,1,0,1,0,0,0,0,1,0,0
232,2,1,0,0,1,0,0,0,0,1,1,1
233,2,0,0,0,0,0,0,1,0,1,0,0
234,2,1,0,0,1,0,0,0,0,1,0,1
235,2,0,0,0,0,0,0,1,0,1,0,0
236,2,0,1,0,1,0,0,0,0,1,0,1
237,2,0,1,0,1,0,0,0,0,1,0,0
238,2,0,0,0,0,1,0,0,0,1,0,0
239,2,0,1,0,1,0,0,0,0,1,0,0
240,2,0,1,0,1,0,0,0,0,1,0,0
241,2,0,0,0,0,0,0,1,0,1,0,0
242,2,0,1,0,1,0,0,0,0,1,0,0
243,2,0,1,0,1,0,0,0,0,1,0,1
244,2,0,1,0,1,0,0,0,0,1,0,0
245,2,0,1,0,1,0,0,0,0,1,0,0
246,2,0,1,0,1,0,0,0,0,1,0,1
247,2,0,0,0,0,0,0,1,0,1,0,1
248,2,1,0,0,1,0,0,0,0,1,0,1
249,2,1,0,0,1,0,0,0,0,1,1,1
250,2,0,0,0,1,0,0,0,0,1,0,0
251,2,0,1,0,1,0,0,0,0,1,0,0
252,2,0,0,0,1,0,0,0,0,1,0,0
253,2,0,0,0,1,0,0,0,0,1,0,0
254,2,0,1,0,1,0,0,0,0,1,0,0
255,2,1,1,0,1,0,0,0,0,1,0,1
256,2,0,1,0,1,0,0,0,0,1,0,0
257,2,1,0,0,1,0,0,0,0,1,0,1
258,2,1,0,0,1,0,0,0,0,1,0,1
259,2,0,0,0,0,0,0,1,0,1,0,0
260,2,0,0,0,1,0,0,0,0,1,0,0
